from_id,to_id,tie_strength,physical_proximity,kinship_relation,sharing_history,kinship_encoded
H30,H906,0.41666666666666674,0.2833333333333333,sibling,2,3.0
H30,H534,0.3833333333333333,0.6375000000000001,neighbor,2,
H31,H750,0.7,0.8958333333333334,sibling,2,3.0
H31,H806,0.016666666666666607,0.44999999999999996,cousin,0,2.0
H31,H934,0.18333333333333335,0.3083333333333333,sibling,1,3.0
H31,H248,0.4666666666666668,0.15000000000000002,neighbor,1,
H32,H690,0.19999999999999996,0.7791666666666667,cousin,2,2.0
H32,H901,0.9333333333333333,0.7083333333333334,cousin,2,2.0
H32,H854,0.7833333333333332,0.45416666666666666,sibling,1,3.0
H33,H658,0.7,0.43749999999999994,cousin,2,2.0
H33,H253,0.9833333333333334,0.8125,sibling,2,3.0
H33,H783,0.016666666666666607,0.42916666666666664,cousin,1,2.0
H33,H376,0.8999999999999999,0.6291666666666668,neighbor,1,
H34,H969,0.55,0.7541666666666667,sibling,2,3.0
H35,H617,0.3666666666666667,0.15833333333333333,other,2,1.0
H35,H358,0.7333333333333332,0.6291666666666668,neighbor,1,
H36,H760,0.3666666666666667,0.6250000000000001,neighbor,1,
H36,H84,0.2833333333333332,0.6458333333333334,neighbor,0,
H36,H211,0.19999999999999996,0.48333333333333334,sibling,2,3.0
H36,H799,0.6000000000000001,0.5416666666666667,sibling,1,3.0
H37,H965,0.4666666666666668,0.2708333333333333,neighbor,0,
H37,H640,0.0,0.44999999999999996,other,2,1.0
H37,H434,0.3833333333333333,0.05,cousin,2,2.0
H38,H579,0.06666666666666665,0.9916666666666668,other,2,1.0
H39,H456,0.2833333333333332,0.6458333333333334,neighbor,2,
H39,H66,0.6166666666666667,0.8208333333333333,cousin,2,2.0
H40,H679,0.5666666666666667,0.9916666666666668,sibling,2,3.0
H40,H59,0.75,0.4583333333333333,other,0,1.0
H40,H621,0.0,0.008333333333333331,cousin,0,2.0
H40,H833,0.3999999999999999,0.1791666666666667,cousin,1,2.0
H41,H263,0.16666666666666663,0.5416666666666667,neighbor,0,
H42,H169,0.06666666666666665,0.325,other,2,1.0
H42,H373,0.8333333333333333,0.5375,sibling,1,3.0
H42,H84,0.2333333333333334,0.033333333333333326,neighbor,0,
H42,H45,0.9333333333333333,0.5458333333333334,neighbor,2,
H43,H58,0.5833333333333333,0.4666666666666666,cousin,2,2.0
H43,H881,0.44999999999999996,0.43749999999999994,other,1,1.0
H43,H384,0.08333333333333326,0.5916666666666668,other,1,1.0
H44,H851,0.2333333333333334,0.25416666666666665,neighbor,0,
H44,H562,0.0,0.7625000000000001,neighbor,1,
H44,H818,0.5666666666666667,0.41250000000000003,other,1,1.0
H44,H628,0.44999999999999996,0.7375000000000002,neighbor,0,
H45,H586,0.8166666666666667,0.3333333333333333,other,1,1.0
H45,H364,0.2666666666666667,0.26666666666666666,neighbor,1,
H46,H37,0.2666666666666667,0.8,other,0,1.0
H46,H804,0.41666666666666674,0.5833333333333334,other,2,1.0
H46,H234,0.016666666666666607,0.02083333333333333,sibling,0,3.0
H46,H967,0.8333333333333333,0.9083333333333333,neighbor,2,
H47,H162,0.7833333333333332,0.5750000000000001,cousin,0,2.0
H47,H438,0.8500000000000001,0.35416666666666663,other,2,1.0
H48,H891,0.44999999999999996,0.2,cousin,1,2.0
H48,H709,0.18333333333333335,0.6041666666666667,sibling,1,3.0
H48,H346,0.41666666666666674,0.23333333333333334,other,2,1.0
H48,H314,0.4666666666666668,0.8166666666666668,cousin,2,2.0
H49,H148,0.9166666666666665,0.4041666666666667,cousin,2,2.0
H49,H801,0.2666666666666667,0.6416666666666667,neighbor,1,
H49,H77,0.48333333333333317,0.11666666666666668,neighbor,2,
H50,H386,0.1499999999999999,0.9208333333333334,neighbor,2,
H50,H192,0.2833333333333332,0.38333333333333336,other,2,1.0
H50,H999,0.1499999999999999,0.15833333333333333,neighbor,1,
H51,H486,0.7333333333333332,0.9500000000000001,sibling,1,3.0
H51,H616,0.5166666666666666,0.8458333333333333,neighbor,2,
H52,H842,0.5833333333333333,0.033333333333333326,neighbor,1,
H52,H798,0.5,0.9,other,0,1.0
H52,H949,0.033333333333333215,0.6875000000000001,neighbor,0,
H52,H756,0.1499999999999999,0.6291666666666668,cousin,1,2.0
H53,H419,0.16666666666666663,0.2458333333333333,sibling,2,3.0
H53,H880,0.4666666666666668,0.75,other,0,1.0
H53,H875,0.8666666666666667,0.7375000000000002,neighbor,0,
H54,H263,0.3666666666666667,0.8083333333333335,sibling,1,3.0
H54,H773,0.19999999999999996,0.3208333333333333,other,1,1.0
H54,H710,0.43333333333333335,0.4041666666666667,neighbor,2,
H54,H974,0.43333333333333335,0.7375000000000002,neighbor,1,
H55,H411,0.41666666666666674,0.42500000000000004,cousin,1,2.0
H56,H902,0.04999999999999993,0.9375000000000001,sibling,2,3.0
H56,H66,0.3666666666666667,0.2916666666666667,cousin,2,2.0
H56,H813,0.6833333333333333,0.5541666666666667,cousin,1,2.0
H56,H117,0.31666666666666654,0.35833333333333334,other,2,1.0
H57,H621,0.44999999999999996,0.0625,other,2,1.0
H58,H216,0.5,0.20416666666666666,other,1,1.0
H59,H378,0.8500000000000001,0.2,other,2,1.0
H59,H987,0.9166666666666665,0.175,cousin,0,2.0
H60,H878,0.29999999999999993,0.30416666666666664,cousin,0,2.0
H60,H191,0.3666666666666667,0.0625,cousin,2,2.0
H60,H986,0.19999999999999996,0.5208333333333335,sibling,1,3.0
H60,H554,0.9166666666666665,0.09583333333333334,cousin,0,2.0
H61,H922,0.033333333333333215,0.20416666666666666,other,1,1.0
H61,H333,0.8333333333333333,0.8541666666666667,cousin,1,2.0
H61,H639,0.5166666666666666,0.7791666666666667,other,1,1.0
H62,H209,0.3999999999999999,0.47500000000000003,other,1,1.0
H62,H648,0.25,0.9333333333333333,other,1,1.0
H62,H944,0.75,0.6916666666666668,other,0,1.0
H62,H430,0.8666666666666667,0.44166666666666665,other,1,1.0
H63,H948,0.9666666666666666,0.7833333333333334,sibling,0,3.0
H63,H781,0.9666666666666666,0.4041666666666667,cousin,2,2.0
H63,H194,0.6666666666666667,0.48333333333333334,neighbor,1,
H63,H859,0.6333333333333333,0.6625000000000001,neighbor,1,
H64,H269,0.5,0.6041666666666667,cousin,1,2.0
H64,H766,0.5333333333333332,0.35,other,1,1.0
H64,H924,0.21666666666666667,0.9833333333333335,cousin,1,2.0
H64,H941,0.8999999999999999,0.3125,other,1,1.0
H65,H678,0.43333333333333335,0.42500000000000004,sibling,1,3.0
H65,H3,0.2333333333333334,0.7166666666666668,cousin,2,2.0
H65,H957,0.6000000000000001,0.058333333333333334,sibling,0,3.0
H66,H551,0.4666666666666668,0.4208333333333334,other,2,1.0
H66,H219,0.7666666666666666,0.44166666666666665,other,0,1.0
H66,H80,0.8166666666666667,0.26666666666666666,other,1,1.0
H67,H413,0.7833333333333332,0.4791666666666667,cousin,0,2.0
H68,H632,0.3833333333333333,0.6375000000000001,cousin,1,2.0
H68,H372,0.5166666666666666,0.4083333333333334,other,1,1.0
H68,H701,0.06666666666666665,0.7958333333333333,cousin,2,2.0
H68,H387,0.48333333333333317,0.9166666666666666,sibling,2,3.0
H69,H569,0.95,0.8833333333333335,neighbor,1,
H70,H52,0.25,0.9666666666666667,cousin,2,2.0
H70,H466,0.7666666666666666,0.004166666666666666,other,0,1.0
H70,H727,0.6666666666666667,0.43749999999999994,sibling,0,3.0
H70,H895,0.44999999999999996,0.6625000000000001,other,0,1.0
H71,H464,0.9166666666666665,0.6375000000000001,cousin,2,2.0
H71,H410,0.5833333333333333,0.12916666666666665,cousin,1,2.0
H71,H580,0.7333333333333332,0.6541666666666667,sibling,1,3.0
H72,H617,0.8500000000000001,0.5208333333333335,sibling,0,3.0
H72,H374,0.9166666666666665,0.2416666666666667,other,1,1.0
H72,H332,0.44999999999999996,0.8083333333333335,sibling,2,3.0
H73,H674,0.1333333333333333,0.6875000000000001,neighbor,2,
H73,H216,0.16666666666666663,0.37083333333333335,other,2,1.0
H73,H65,0.8333333333333333,0.4708333333333334,sibling,1,3.0
H73,H344,0.6500000000000001,0.9833333333333335,neighbor,1,
H74,H430,0.6833333333333333,0.6333333333333334,sibling,0,3.0
H74,H46,0.5333333333333332,0.10416666666666667,sibling,1,3.0
H74,H484,0.2333333333333334,0.7208333333333334,cousin,2,2.0
H75,H586,0.33333333333333326,0.8541666666666667,neighbor,0,
H75,H262,0.8999999999999999,0.125,cousin,1,2.0
H76,H239,0.3999999999999999,0.7250000000000001,neighbor,2,
H77,H527,0.6333333333333333,0.008333333333333331,other,1,1.0
H77,H706,0.3833333333333333,0.2583333333333333,neighbor,2,
H77,H512,0.9166666666666665,0.9541666666666668,neighbor,2,
H78,H645,0.19999999999999996,0.7625000000000001,neighbor,1,
H78,H492,0.3999999999999999,0.22916666666666669,sibling,2,3.0
H79,H654,0.41666666666666674,0.6708333333333334,cousin,1,2.0
H79,H976,0.43333333333333335,0.37916666666666665,neighbor,0,
H80,H162,0.16666666666666663,0.75,other,2,1.0
H80,H481,0.2333333333333334,0.9583333333333334,neighbor,1,
H80,H869,0.04999999999999993,0.4583333333333333,other,2,1.0
H81,H822,0.3833333333333333,0.5333333333333333,neighbor,2,
H82,H325,0.75,0.36666666666666664,other,0,1.0
H82,H429,0.43333333333333335,0.8125,cousin,2,2.0
H82,H816,0.3833333333333333,0.7583333333333334,other,2,1.0
H82,H16,0.31666666666666654,0.9625000000000002,cousin,2,2.0
H83,H517,0.29999999999999993,0.9916666666666668,neighbor,1,
H83,H395,0.9166666666666665,0.5750000000000001,sibling,2,3.0
H83,H120,0.11666666666666659,0.9041666666666668,sibling,0,3.0
H84,H460,0.8333333333333333,0.058333333333333334,sibling,2,3.0
H84,H498,0.5166666666666666,0.6000000000000001,cousin,2,2.0
H84,H88,0.6333333333333333,0.35,neighbor,0,
H84,H233,0.6500000000000001,0.9,other,0,1.0
H85,H214,0.75,0.0625,cousin,1,2.0
H85,H899,0.8,0.9166666666666666,sibling,0,3.0
H86,H710,0.8999999999999999,0.45416666666666666,sibling,0,3.0
H87,H529,0.7833333333333332,0.5875,sibling,1,3.0
H88,H505,0.0,0.9666666666666667,cousin,2,2.0
H88,H555,0.8666666666666667,0.55,sibling,0,3.0
H89,H552,0.75,0.9625000000000002,sibling,2,3.0
H89,H965,0.11666666666666659,0.5708333333333334,neighbor,1,
H90,H346,0.6166666666666667,0.8333333333333335,cousin,0,2.0
H90,H552,0.19999999999999996,0.44999999999999996,cousin,1,2.0
H90,H672,0.31666666666666654,0.16666666666666669,neighbor,0,
H91,H909,0.8999999999999999,0.6583333333333333,neighbor,1,
H91,H826,0.3833333333333333,0.22916666666666669,sibling,0,3.0
H92,H127,0.1499999999999999,0.2708333333333333,cousin,2,2.0
H92,H261,0.6833333333333333,0.9500000000000001,cousin,2,2.0
H93,H391,0.48333333333333317,0.41250000000000003,other,0,1.0
H93,H361,0.95,0.39583333333333337,cousin,1,2.0
H94,H991,0.2833333333333332,0.7041666666666667,neighbor,1,
H95,H274,0.04999999999999993,0.7583333333333334,other,2,1.0
H95,H216,0.25,0.15416666666666667,sibling,2,3.0
H95,H519,0.3833333333333333,0.12916666666666665,cousin,2,2.0
H95,H47,0.8666666666666667,0.9041666666666668,sibling,2,3.0
H96,H662,0.033333333333333215,0.32916666666666666,neighbor,0,
H96,H437,0.21666666666666667,0.7541666666666667,neighbor,1,
H96,H590,0.75,0.7916666666666667,other,0,1.0
H96,H886,0.2333333333333334,0.5333333333333333,other,0,1.0
H97,H645,0.9333333333333333,0.9875000000000002,neighbor,1,
H97,H313,0.6833333333333333,0.9125000000000001,sibling,2,3.0
H97,H451,0.8333333333333333,0.4333333333333333,cousin,2,2.0
H97,H533,0.016666666666666607,0.21249999999999997,sibling,1,3.0
H98,H175,0.16666666666666663,0.4875,cousin,2,2.0
H99,H703,0.75,0.35416666666666663,neighbor,2,
H99,H606,0.5333333333333332,0.1875,cousin,2,2.0
H99,H427,0.1333333333333333,0.8250000000000001,cousin,2,2.0
H100,H766,0.04999999999999993,1.0,sibling,1,3.0
H100,H175,0.18333333333333335,0.6666666666666667,cousin,2,2.0
H100,H782,0.1333333333333333,0.3458333333333333,neighbor,2,
H101,H964,1.0,0.14166666666666666,sibling,1,3.0
H102,H37,0.09999999999999998,0.037500000000000006,sibling,2,3.0
H102,H6,0.2833333333333332,0.18333333333333335,sibling,0,3.0
H102,H607,0.21666666666666667,0.9958333333333335,neighbor,2,
H102,H63,0.6000000000000001,0.1916666666666667,cousin,0,2.0
H103,H633,0.9166666666666665,0.4875,sibling,0,3.0
H103,H882,0.5,0.7041666666666667,sibling,1,3.0
H103,H61,0.6500000000000001,0.36666666666666664,sibling,1,3.0
H103,H243,0.55,0.2583333333333333,cousin,2,2.0
H104,H243,0.16666666666666663,0.2458333333333333,cousin,0,2.0
H105,H120,0.75,0.05,neighbor,1,
H106,H815,0.95,0.5375,cousin,0,2.0
H106,H233,0.7166666666666666,0.06666666666666667,neighbor,2,
H107,H749,0.7,0.7958333333333333,sibling,0,3.0
H108,H418,0.6000000000000001,0.3875,other,2,1.0
H108,H23,0.5833333333333333,0.1333333333333333,cousin,0,2.0
H108,H421,0.25,0.9291666666666668,sibling,0,3.0
H109,H606,0.55,0.4708333333333334,neighbor,0,
H110,H132,0.7833333333333332,0.3416666666666667,other,1,1.0
H110,H228,0.8166666666666667,0.058333333333333334,cousin,0,2.0
H110,H606,0.7333333333333332,0.175,other,0,1.0
H111,H294,0.9833333333333334,0.9541666666666668,cousin,0,2.0
H112,H981,0.9666666666666666,0.29583333333333334,other,0,1.0
H113,H552,0.8,0.8625,other,2,1.0
H113,H326,0.5,0.4708333333333334,sibling,0,3.0
H113,H89,0.08333333333333326,0.49166666666666664,neighbor,0,
H114,H682,0.2666666666666667,0.26666666666666666,sibling,2,3.0
H114,H495,0.2333333333333334,0.6041666666666667,cousin,1,2.0
H114,H26,0.25,0.9416666666666667,sibling,1,3.0
H114,H618,0.8333333333333333,0.6375000000000001,cousin,2,2.0
H115,H675,0.48333333333333317,0.1958333333333333,cousin,2,2.0
H115,H649,0.3666666666666667,0.39166666666666666,sibling,1,3.0
H116,H561,0.5166666666666666,0.22083333333333333,cousin,2,2.0
H116,H583,0.48333333333333317,0.9666666666666667,sibling,0,3.0
H117,H746,0.08333333333333326,0.4666666666666666,cousin,0,2.0
H117,H147,0.19999999999999996,0.25,other,0,1.0
H117,H50,0.7166666666666666,0.275,neighbor,1,
H117,H229,0.11666666666666659,0.35,sibling,2,3.0
H118,H171,0.31666666666666654,0.9916666666666668,other,1,1.0
H118,H533,0.3833333333333333,0.8125,cousin,1,2.0
H118,H76,0.6833333333333333,0.22916666666666669,cousin,1,2.0
H119,H874,0.033333333333333215,0.4458333333333333,cousin,1,2.0
H119,H360,0.5333333333333332,0.25,sibling,2,3.0
H119,H603,0.9833333333333334,0.7208333333333334,neighbor,0,
H120,H172,0.34999999999999987,0.7666666666666667,other,0,1.0
H121,H514,0.04999999999999993,0.6333333333333334,neighbor,2,
H121,H320,0.41666666666666674,0.6833333333333333,cousin,2,2.0
H122,H198,0.5666666666666667,0.2,cousin,2,2.0
H122,H157,0.2666666666666667,0.5958333333333334,other,2,1.0
H122,H748,0.18333333333333335,0.9958333333333335,other,0,1.0
H123,H327,0.11666666666666659,0.5250000000000001,neighbor,1,
H124,H101,0.6833333333333333,0.6666666666666667,other,2,1.0
H125,H702,0.9833333333333334,0.6083333333333334,sibling,0,3.0
H125,H851,0.6500000000000001,0.01666666666666667,other,2,1.0
H125,H170,0.8,0.8833333333333335,neighbor,2,
H126,H870,0.8166666666666667,0.5458333333333334,neighbor,1,
H126,H303,0.8500000000000001,0.5000000000000001,cousin,1,2.0
H126,H863,0.21666666666666667,0.43749999999999994,other,0,1.0
H126,H728,0.033333333333333215,0.23333333333333334,neighbor,2,
H127,H882,0.5333333333333332,0.48333333333333334,neighbor,2,
H127,H72,0.9333333333333333,0.1958333333333333,cousin,0,2.0
H127,H640,0.75,0.6375000000000001,other,0,1.0
H127,H757,0.29999999999999993,0.9,cousin,0,2.0
H128,H344,0.2833333333333332,0.42916666666666664,other,1,1.0
H128,H623,0.1333333333333333,0.9541666666666668,other,2,1.0
H129,H713,0.7166666666666666,0.3,other,1,1.0
H130,H239,0.44999999999999996,0.4791666666666667,neighbor,1,
H131,H930,0.5,0.1958333333333333,other,0,1.0
H131,H526,0.6166666666666667,0.5416666666666667,other,0,1.0
H131,H110,0.8333333333333333,0.16666666666666669,cousin,2,2.0
H131,H824,0.08333333333333326,1.0,cousin,2,2.0
H132,H204,0.1333333333333333,0.07916666666666666,cousin,2,2.0
H132,H40,0.16666666666666663,0.7666666666666667,sibling,1,3.0
H133,H97,0.04999999999999993,0.2,sibling,0,3.0
H134,H680,0.7,0.3208333333333333,sibling,0,3.0
H134,H352,0.8166666666666667,0.08750000000000001,cousin,2,2.0
H134,H596,0.6500000000000001,0.1958333333333333,cousin,2,2.0
H135,H544,0.6166666666666667,0.39583333333333337,other,1,1.0
H136,H423,0.2666666666666667,0.8916666666666668,sibling,0,3.0
H136,H39,0.6500000000000001,0.9291666666666668,neighbor,0,
H137,H361,0.19999999999999996,0.5333333333333333,other,2,1.0
H137,H532,0.2333333333333334,0.2375,sibling,2,3.0
H137,H404,0.09999999999999998,0.35416666666666663,cousin,0,2.0
H137,H896,0.9333333333333333,0.7541666666666667,other,1,1.0
H138,H281,0.08333333333333326,0.6083333333333334,other,2,1.0
H138,H153,0.19999999999999996,0.9458333333333334,cousin,0,2.0
H139,H956,0.6333333333333333,0.47500000000000003,cousin,2,2.0
H139,H940,0.1499999999999999,0.11666666666666668,sibling,1,3.0
H140,H879,0.44999999999999996,0.8250000000000001,sibling,0,3.0
H140,H741,0.9333333333333333,0.22499999999999998,other,0,1.0
H140,H401,0.06666666666666665,0.6666666666666667,neighbor,1,
H140,H25,0.34999999999999987,0.18333333333333335,other,0,1.0
H141,H901,0.6666666666666667,0.7958333333333333,other,2,1.0
H141,H572,0.7333333333333332,0.8208333333333333,cousin,1,2.0
H142,H311,0.6166666666666667,0.6208333333333335,neighbor,2,
H142,H536,0.16666666666666663,0.15833333333333333,sibling,1,3.0
H142,H686,0.6666666666666667,0.5125000000000001,sibling,1,3.0
H143,H581,0.75,0.30416666666666664,cousin,2,2.0
H144,H444,0.9666666666666666,0.9875000000000002,sibling,0,3.0
H145,H691,0.44999999999999996,0.5125000000000001,cousin,2,2.0
H146,H523,0.55,0.37083333333333335,neighbor,1,
H146,H402,0.9166666666666665,0.8041666666666667,sibling,1,3.0
H147,H682,0.3666666666666667,0.14166666666666666,other,0,1.0
H148,H236,0.5166666666666666,0.2583333333333333,other,1,1.0
H148,H885,0.33333333333333326,0.7958333333333333,cousin,0,2.0
H149,H987,0.016666666666666607,0.07500000000000001,other,1,1.0
H150,H649,0.5833333333333333,0.008333333333333331,cousin,1,2.0
H151,H979,0.9333333333333333,0.22499999999999998,sibling,0,3.0
H151,H605,0.8500000000000001,0.06666666666666667,other,0,1.0
H152,H225,0.5833333333333333,0.10833333333333332,other,0,1.0
H152,H935,0.4666666666666668,0.18333333333333335,sibling,1,3.0
H153,H43,0.8666666666666667,0.5041666666666668,sibling,2,3.0
H154,H744,0.95,0.6791666666666667,other,0,1.0
H154,H681,0.3666666666666667,0.3083333333333333,neighbor,2,
H155,H208,0.6500000000000001,0.5000000000000001,neighbor,0,
H155,H42,0.06666666666666665,0.46249999999999997,sibling,1,3.0
H155,H157,0.2833333333333332,0.6000000000000001,neighbor,2,
H156,H325,0.6833333333333333,0.3375,neighbor,2,
H156,H969,0.7166666666666666,0.7333333333333334,other,1,1.0
H156,H721,0.4666666666666668,0.2,other,0,1.0
H156,H701,0.3833333333333333,0.05,other,1,1.0
H157,H516,0.43333333333333335,0.7708333333333334,neighbor,0,
H157,H366,0.6166666666666667,0.38333333333333336,sibling,2,3.0
H157,H808,0.41666666666666674,0.675,neighbor,0,
H158,H900,0.75,0.8458333333333333,other,2,1.0
H158,H452,0.6000000000000001,0.6041666666666667,other,2,1.0
H158,H529,0.5666666666666667,0.8750000000000001,neighbor,2,
H158,H503,0.7333333333333332,0.7125000000000001,other,1,1.0
H159,H501,0.7666666666666666,0.6041666666666667,sibling,0,3.0
H159,H713,0.95,0.8541666666666667,neighbor,2,
H159,H617,0.08333333333333326,0.8750000000000001,other,2,1.0
H159,H502,0.6333333333333333,0.7416666666666667,other,0,1.0
H160,H638,0.31666666666666654,0.6250000000000001,neighbor,0,
H161,H757,0.16666666666666663,0.4875,sibling,0,3.0
H161,H679,0.5,0.5375,cousin,1,2.0
H162,H696,0.55,0.8875000000000001,cousin,1,2.0
H162,H807,0.6166666666666667,0.9500000000000001,cousin,2,2.0
H162,H204,0.5166666666666666,0.22916666666666669,sibling,2,3.0
H162,H621,0.18333333333333335,0.09583333333333334,neighbor,0,
H163,H153,0.6000000000000001,0.9208333333333334,neighbor,2,
H163,H722,0.6000000000000001,0.3125,sibling,2,3.0
H163,H81,0.3666666666666667,0.25,sibling,2,3.0
H164,H848,0.8333333333333333,0.8291666666666667,neighbor,1,
H164,H312,0.8999999999999999,0.20416666666666666,cousin,1,2.0
H164,H665,0.6000000000000001,0.7875000000000001,cousin,2,2.0
H164,H392,0.21666666666666667,0.8125,cousin,1,2.0
H165,H634,0.75,0.9416666666666667,other,1,1.0
H165,H472,0.11666666666666659,0.375,other,2,1.0
H165,H408,0.41666666666666674,0.5416666666666667,sibling,0,3.0
H166,H784,0.016666666666666607,0.5125000000000001,cousin,0,2.0
H166,H69,0.8500000000000001,0.47500000000000003,other,2,1.0
H166,H637,0.5333333333333332,0.5916666666666668,cousin,0,2.0
H167,H883,0.016666666666666607,0.6458333333333334,cousin,2,2.0
H167,H227,0.19999999999999996,0.4041666666666667,cousin,2,2.0
H168,H270,0.3666666666666667,0.5125000000000001,other,1,1.0
H168,H578,0.41666666666666674,0.5750000000000001,cousin,2,2.0
H168,H207,0.8999999999999999,0.5833333333333334,sibling,1,3.0
H169,H810,0.55,0.9625000000000002,other,2,1.0
H169,H3,0.8166666666666667,0.7375000000000002,sibling,2,3.0
H169,H226,0.2333333333333334,0.5375,other,1,1.0
H169,H191,0.016666666666666607,0.17083333333333334,other,0,1.0
H170,H438,0.7333333333333332,0.4958333333333334,other,2,1.0
H170,H411,0.9166666666666665,0.3416666666666667,other,1,1.0
H171,H126,0.7166666666666666,0.8750000000000001,other,0,1.0
H171,H712,0.9333333333333333,0.6125,other,0,1.0
H171,H838,0.3999999999999999,0.8291666666666667,other,0,1.0
H172,H472,0.41666666666666674,0.058333333333333334,neighbor,0,
